,0,1,2,3
1546,-0.89455,-0.618317,4.253395,1
1753,0.520385,0.159971,9.984433,0
1931,0.215086,0.246871,9.645904,0
429,1.153488,-4.670523,11.965234,1
1436,0.294688,0.443732,9.974991,0
1755,0.46164,0.213678,9.94945,0
251,0.36,-0.64,10.02,0
756,0.638093,0.245683,22.920593,1
855,0.310183,-2.390486,9.66455,0
128,2.62,2.0,20.42,1
637,0.455818,-1.172201,9.910893,0
864,0.308019,-2.395265,9.678598,0
1809,0.381636,0.244572,9.964782,0
1402,0.338952,0.445092,9.885487,0
361,-0.181318,-0.953524,9.893867,0
1578,0.675309,3.646226,19.745403,1
1091,0.02806,0.782195,8.903815,0
1810,0.38266,0.261073,9.930315,0
1615,0.313813,0.531685,9.762377,0
1138,-1.509381,-2.177249,3.633776,1
247,0.26,-0.65,9.9,0
845,0.317931,-2.401652,9.667576,0
1628,-0.283282,1.015975,9.822749,0
1239,0.157165,-1.643007,9.968863,0
196,2.53,-0.62,3.99,1
1033,0.075255,-0.474023,9.984731,0
584,0.450579,-1.192217,9.963212,0
548,-0.059098,-2.370423,9.660911,0
722,-0.314598,0.538523,6.358454,1
1840,0.386223,0.243854,9.955981,0
350,-0.181911,-0.973712,9.871936,0
1675,0.597918,0.007288,0.403059,1
1787,0.337056,0.228014,9.98587,0
383,-0.120725,-0.24984,10.345135,0
1693,-0.597861,-1.203201,9.994346,0
906,0.30392,-2.385937,9.660651,0
65,0.36,-0.25,9.99,0
1625,0.295732,0.301497,9.844393,0
254,0.57,-0.73,9.96,0
838,0.310403,-2.406451,9.676885,0
256,0.59,-0.76,9.8,0
1087,-0.378495,0.330534,11.626023,0
29,0.37,-0.25,10.03,0
802,3.277097,1.893756,11.309558,0
1202,-0.087254,-1.759796,10.443613,0
298,-0.189793,-0.74338,9.936368,0
1709,0.788593,-0.158161,10.350795,0
1646,-0.782425,-0.229566,14.243699,0
1501,1.344229,3.521564,12.977982,1
420,-0.18058,-1.08623,11.629576,1
1602,0.340331,0.068101,9.567603,0
865,0.301219,-2.396558,9.670506,0
270,0.47,-0.69,9.87,0
1113,1.739866,-1.92445,10.250784,1
366,-0.186681,-0.95318,9.919273,0
857,0.313717,-2.396184,9.663783,0
1313,0.122823,-1.598494,9.811315,0
1331,0.096132,-1.607247,9.820115,0
1240,0.120045,-1.703158,10.09927,0
518,0.064586,-2.353711,9.566378,0
120,1.23,0.98,10.1,1
1330,0.103267,-1.632185,9.825439,0
598,0.4526,-1.167202,9.888752,0
485,2.615771,-3.899791,16.746895,1
808,0.859222,-2.226579,9.341467,0
135,-1.61,0.86,9.69,1
1887,0.384059,0.241987,9.967607,0
239,0.61,-0.86,10.02,0
757,1.354189,-0.315632,5.826146,1
514,-0.155355,-2.805526,9.376785,0
231,0.53,-0.66,10.25,0
807,0.526025,-2.384309,10.991023,0
109,0.05,1.89,9.82,0
1550,-1.173963,-0.835471,17.45377,1
1621,0.298136,0.272968,9.839307,0
650,0.466122,-1.167738,9.908135,0
1196,-0.369215,-1.292323,9.705816,0
1914,0.385907,0.249026,9.941712,0
926,0.288607,-2.387938,9.6573,0
1177,1.150232,-1.884677,7.035726,1
1689,-1.625538,-4.593075,7.454682,0
1573,-1.490572,1.81808,10.923018,1
1075,0.071874,-0.487115,9.948502,0
1894,0.373879,0.256381,9.95351,0
427,0.233923,-2.40873,16.180187,1
701,0.108295,0.633113,10.138458,0
567,0.461755,-1.1256,9.809935,0
1106,-1.547746,0.131298,13.816344,1
1080,-0.004664,0.84953,9.646852,0
888,0.304341,-2.390811,9.675602,0
1545,-3.285113,0.765091,14.689481,1
1345,0.109415,-1.625471,9.829089,0
1047,0.080369,-0.474186,9.947775,0
1453,0.319061,0.460204,9.940361,0
1965,0.492727,0.188127,10.371145,0
1658,-0.150614,1.302455,4.86655,1
1763,0.452705,0.225764,9.962762,0
212,1.74,-0.71,7.6,1
1120,0.40123,-3.03241,15.430525,1
798,8.410361,-18.577225,31.508211,1
1524,-0.02399,0.447457,-1.540343,1
1493,1.676027,-0.128751,14.93256,1
1309,0.118752,-1.627033,9.821858,0
628,0.434327,-1.173705,9.904707,0
1094,-0.351804,0.132007,10.844307,0
720,-1.373573,1.183406,6.461567,1
1447,0.305807,0.457044,9.954803,0
519,-0.111436,-2.266208,9.753843,0
963,0.327469,-2.393569,9.675869,0
1654,-0.104856,1.341174,9.697877,1
188,-1.52,-2.68,-0.93,1
818,0.278312,-2.36843,9.704409,0
393,-0.417204,-0.823988,11.104011,0
23,0.37,-0.25,9.92,0
1480,0.316025,0.714248,9.079416,1
63,0.36,-0.23,9.98,0
1007,0.07808,-0.436626,9.986866,0
680,0.452849,-1.161896,9.893991,0
220,0.02,-1.83,10.38,0
1179,0.927217,-6.634496,11.538856,0
1620,0.313363,0.401316,9.819876,0
938,0.309676,-2.383188,9.659177,0
1404,0.252052,0.462857,10.077301,0
479,-0.893392,-16.642612,-2.826135,1
1920,0.370862,0.232736,9.942238,0
1909,0.367769,0.250472,9.95012,0
1684,-1.394125,2.899838,4.613828,1
210,0.5,-0.83,4.88,1
879,0.307693,-2.399172,9.660355,0
100,0.37,-0.25,10.02,0
495,0.131633,-2.409142,10.017378,0
1913,0.361275,0.270928,9.968517,0
307,-0.186451,-1.017392,10.030029,0
1112,2.955594,0.361342,13.307117,1
1043,0.068503,-0.47115,9.977424,0
324,-0.192475,-0.927868,9.94969,0
1851,0.377786,0.235609,9.952621,0
591,0.448875,-1.180562,9.963058,0
233,-0.03,-0.35,9.47,0
1659,-0.542517,1.067479,5.410101,1
721,1.567819,-2.223773,16.391415,1
1423,0.316264,0.455052,9.889738,0
630,0.444689,-1.177909,9.903653,0
582,0.4526,-1.135139,9.801413,0
705,0.92919,-0.339527,10.169391,0
115,0.28,-0.69,10.77,0
1749,0.212854,0.324922,9.921447,0
813,0.296038,-2.459439,9.752819,0
944,0.292524,-2.386751,9.670641,0
1364,0.109721,-1.631859,9.839298,0
585,0.446576,-1.194276,10.007772,0
590,0.449756,-1.17946,9.867597,0
903,0.312261,-2.398157,9.666647,0
367,-0.181576,-0.955631,9.883629,0
618,0.44627,-1.170468,9.912388,0
1208,0.313257,-1.95885,10.577536,0
1375,0.088547,-1.624207,9.863201,0
1708,0.279547,0.382268,10.261625,0
173,-6.03,1.21,6.28,1
1561,-2.662707,3.472196,19.652231,1
962,0.434864,-2.480393,9.654723,0
806,-0.820761,-2.946132,8.800252,0
1307,0.123445,-1.616613,9.830516,0
1237,0.083577,-1.548167,9.575514,0
1649,0.066779,3.682531,7.585693,1
1228,0.231941,-1.757449,10.165848,0
78,0.35,-0.25,10.0,0
1089,-0.938948,0.910343,9.043973,0
1503,-0.20186,2.202311,12.509694,1
32,0.37,-0.24,9.91,0
939,0.306956,-2.390927,9.668475,0
1341,0.111397,-1.623575,9.817798,0
1414,0.272594,0.450091,10.019246,0
909,0.295282,-2.398578,9.660221,0
124,0.76,0.89,11.29,1
733,1.340274,1.162155,7.381295,1
1888,0.369148,0.252952,9.977548,0
163,0.05,-2.6,5.09,1
203,2.73,-3.03,17.09,1
765,1.473095,-2.256363,13.365057,1
692,0.437622,-1.171387,9.904429,0
1538,5.458377,-1.632309,6.446245,1
1305,0.09641,-1.620118,9.838685,0
49,0.36,-0.25,10.0,0
464,-1.256094,-0.347236,2.367329,1
1568,1.140081,1.296949,13.938611,1
354,-0.190138,-0.909078,9.934031,0
1940,0.376953,0.245674,10.000389,0
416,0.946093,-0.833489,10.49529,1
1018,0.084851,-0.464791,9.969389,0
534,-0.043421,-2.416564,9.59959,0
1758,0.300377,0.288875,9.955991,0
218,0.1,-0.93,6.5,1
1905,0.377786,0.237926,9.969916,0
1169,2.318085,-0.660838,4.448982,1
352,-0.170936,-0.962795,9.931455,0
1766,0.387621,0.232314,9.971908,0
59,0.36,-0.24,10.0,0
613,0.451269,-1.168447,9.887891,0
275,0.46,-0.7,9.97,0
73,0.36,-0.24,9.98,0
162,0.92,-1.31,4.51,1
1778,0.293156,0.273217,10.091684,0
1937,0.422529,0.226108,9.927088,0
532,0.015706,-2.297284,9.711964,0
1910,0.370852,0.247082,9.942718,0
1760,0.326761,0.27247,9.960607,0
297,-0.189056,-0.804232,9.614214,0
45,0.37,-0.26,10.02,0
925,0.312826,-2.394365,9.680188,0
921,0.302608,-2.411622,9.659148,0
529,-0.103544,-2.464553,9.714636,0
76,0.34,-0.25,9.98,0
1891,0.377202,0.239899,9.976648,0
1395,0.120419,-1.667676,10.042086,0
1378,0.086689,-1.615397,9.813096,0
1807,0.353767,0.234603,9.995754,0
1665,1.235734,1.451365,5.250839,1
1226,-0.015438,-1.605408,9.856009,0
1182,1.265987,-4.812872,12.267104,0
30,0.35,-0.26,10.07,0
1221,0.020609,-1.769621,10.240499,0
1670,-0.513489,3.666988,19.176683,1
609,0.455454,-1.172594,9.935095,0
1823,0.364723,0.237007,9.980124,0
507,0.3424,-2.186471,9.542359,0
