,0,1,2,3
1368,0.129814,-1.628412,9.821849,0
1935,0.266254,0.283445,9.998511,0
1441,0.309551,0.470671,9.982778,0
1947,0.363785,0.26546,9.940199,0
1351,0.093537,-1.626171,9.819541,0
601,0.436109,-1.179767,9.964361,0
1036,0.063963,-0.456833,9.963576,0
243,0.69,-0.73,9.95,0
861,0.312903,-2.397525,9.661092,0
1054,0.081958,-0.470135,9.967646,0
1456,-0.128779,2.290571,9.498296,0
312,-0.188768,-0.859145,9.998703,0
435,1.524608,-1.720052,22.753813,1
1874,0.374578,0.24892,9.94494,0
1514,3.827984,1.342783,26.575247,1
308,-0.206486,-1.045299,9.895494,0
430,-0.193279,0.470566,10.496238,1
660,0.469206,-1.172967,9.893426,0
370,-0.191211,-0.942214,9.9207,0
566,0.453213,-1.051936,9.686347,0
1370,0.10907,-1.617867,9.842534,0
181,2.31,0.68,5.79,1
1085,-1.218629,-0.309867,11.220503,0
621,0.451566,-1.170659,9.904669,0
1067,0.074153,-0.485918,9.948952,0
1176,-1.699251,-3.30486,4.842551,1
1110,2.912661,-2.334347,20.193512,1
1818,0.358134,0.235877,10.002381,0
1558,2.825982,-0.661039,9.295814,1
296,-0.202253,-0.938594,9.522239,0
1660,2.074921,-1.311898,14.692124,1
461,0.289871,-2.010823,12.274909,1
1283,0.093403,-1.624131,9.806344,0
1161,0.405492,-3.600247,8.917003,1
377,-0.130944,-0.613174,9.796757,0
1189,-0.048095,-0.558749,10.91259,0
105,0.36,-0.26,9.98,0
126,0.46,-1.16,12.85,1
1116,1.480862,-0.595946,17.756655,1
1037,0.066348,-0.463604,9.969456,0
355,-0.195127,-0.950996,9.879491,0
1596,0.769094,-1.705103,9.180605,0
682,0.466228,-1.180131,9.890735,0
787,-1.638687,1.534913,10.821045,1
998,0.086392,-0.432383,9.986953,0
209,-1.01,-0.51,7.95,1
1707,-0.088758,0.474263,9.533673,0
140,1.67,-2.17,20.55,1
1418,0.314052,0.459179,9.880976,0
1320,0.11089,-1.622474,9.830688,0
1170,1.493436,-2.752594,7.099143,1
1554,0.678593,-0.725836,11.820959,1
1262,0.110287,-1.628986,9.853826,0
862,0.30233,-2.393675,9.651458,0
711,0.385964,-0.601079,9.971122,0
1247,0.107289,-1.632702,9.898885,0
1716,-0.181519,0.459735,10.063778,0
1820,0.40236,0.242667,9.935956,0
10,0.38,-0.36,10.08,0
1673,-2.356613,2.225966,3.064118,1
1431,0.279786,0.447045,9.988236,0
282,-0.187849,-0.801981,8.975402,0
1078,-0.482259,1.312243,10.152315,0
291,-0.165181,-0.703685,9.872022,0
754,1.320517,-0.32971,2.894782,1
626,0.455195,-1.169644,9.891999,0
1419,0.269932,0.463259,10.002811,0
832,0.306812,-2.387345,9.673063,0
129,-0.94,1.55,2.99,1
1160,-3.196269,-2.136404,13.621705,1
323,-0.181021,-0.986392,9.9051,0
1481,0.842002,0.425277,9.052238,1
915,0.325477,-2.393254,9.675304,0
930,0.292246,-2.388178,9.671838,0
1915,0.398433,0.240138,9.951509,0
836,0.315546,-2.38836,9.670497,0
843,0.315699,-2.395878,9.657501,0
695,0.445417,-1.173801,9.915366,0
215,1.13,-2.88,8.63,1
1029,0.082504,-0.452839,9.944949,0
1242,0.100384,-1.584808,9.685016,0
158,-5.99,-1.31,31.87,1
1592,0.203182,-2.015516,15.462559,0
1897,0.37225,0.24305,9.970117,0
634,0.455732,-1.17608,9.907887,0
516,0.228129,-2.197695,9.640962,0
1918,0.378226,0.236356,9.986876,0
597,0.469656,-1.164798,9.84714,0
195,-1.9,-7.52,20.26,1
1623,0.248336,0.368765,10.117867,0
1912,0.361036,0.257875,9.990956,0
410,2.084622,-0.575346,10.819407,1
96,0.37,-0.25,10.0,0
1420,0.279116,0.45576,10.090755,0
914,0.307913,-2.384108,9.659944,0
156,1.5,-3.32,13.82,1
419,1.217547,-1.987427,13.195939,1
1780,0.40191,0.145175,9.95736,0
477,1.258574,-7.957963,4.011035,1
1350,0.10524,-1.629484,9.827565,0
668,0.445111,-1.181682,9.895533,0
1068,0.092225,-0.485075,9.957332,0
1848,0.38177,0.250673,9.972252,0
1280,0.10659,-1.632223,9.84942,0
447,0.753072,-0.441136,21.32461,1
1023,0.096218,-0.442688,9.969676,0
178,0.81,-2.46,19.63,1
390,-0.266178,0.207022,10.307737,0
578,0.461602,-1.180361,10.024014,0
974,0.076203,-0.423659,10.044442,0
